persona_id,age,gender,city,state,education,occupation,income_inr,language,marital_status,children,lifestyle,shopping_frequency,online_shopping_pct,offline_shopping_pct,payment_method,vehicle,technology_adoption,health_consciousness,food_preference,political_interest,social_media_usage,brand_loyalty,price_sensitivity,risk_taking,impulse_buying,discount_preference,premium_preference,preferred_brand,communication_style,response_length,openness,conscientiousness,extraversion,agreeableness,neuroticism,confidence,optimism,patience,curiosity,practicality,emotional_score
P00001,58,Male,Bhopal,Madhya Pradesh,B.Sc,Doctor,2008000,Hindi,Married,0,Luxury,Monthly,79,21,UPI,None,Early Adopter,28,Non-Vegetarian,High,78,4,72,26,92,84,90,Titan,Concise,Short,58,76,36,1,98,21,90,55,44,36,20
P00002,31,Female,Indore,Madhya Pradesh,Diploma,Sales Executive,972000,"Hindi, English",Married,2,Minimalist,Occasionally,87,13,Cash,None,Mainstream,11,Eggetarian,High,80,47,74,25,91,9,6,Adidas,Professional,Short,30,13,49,36,59,82,47,21,48,46,27
P00003,60,Female,Kolkata,West Bengal,Diploma,Government Employee,1581000,"Hindi, English, Marathi",Married,1,Balanced,Monthly,30,70,Net Banking,Bike,Late Adopter,42,Vegetarian,Low,5,41,52,35,9,28,73,Puma,Friendly,Long,64,51,83,59,19,34,18,32,96,72,69
P00004,34,Female,Kochi,Kerala,PhD,Sales Executive,3145000,"Hindi, English, Marathi",Married,1,Minimalist,Weekly,75,25,UPI,Bike,Late Adopter,21,Vegan,High,9,50,49,77,60,68,33,Titan,Direct,Long,93,15,88,69,97,35,99,83,44,15,38
P00005,45,Male,Ahmedabad,Gujarat,High School,Content Creator,2337000,"Hindi, English, Tamil",Single,0,Minimalist,Occasionally,32,68,Debit Card,Bike,Early Adopter,48,Non-Vegetarian,High,100,68,1,77,42,63,3,Samsung,Professional,Medium,31,8,31,73,11,11,94,63,9,98,69
P00006,26,Male,Chennai,Tamil Nadu,MCA,Farmer,1532000,"Hindi, English, Tamil",Single,0,Luxury,Monthly,43,57,Credit Card,Bike,Late Adopter,40,Vegan,High,84,48,57,67,58,16,32,Adidas,Direct,Medium,3,76,71,30,76,29,1,10,91,81,8
P00007,32,Male,Kochi,Kerala,High School,Accountant,2886000,"Hindi, English, Telugu",Married,1,Balanced,Weekly,45,55,Net Banking,Bike,Late Adopter,74,Vegan,Low,61,53,25,13,13,85,56,Puma,Concise,Medium,60,94,7,87,84,83,13,8,52,94,44
P00008,24,Male,Mumbai,Maharashtra,B.Com,Farmer,3855000,"Hindi, English, Marathi",Single,0,Minimalist,Monthly,27,73,Cash,Bike,Early Adopter,57,Vegetarian,Low,84,70,2,12,97,31,22,Sony,Concise,Medium,28,52,8,22,49,1,50,34,59,37,55
P00009,62,Female,Delhi,Delhi,B.Com,Lawyer,1963000,"Hindi, English, Telugu",Single,0,Luxury,Weekly,84,16,Debit Card,None,Early Adopter,75,Vegan,High,68,21,8,66,11,24,9,Tata,Direct,Long,31,52,16,73,32,75,77,6,80,11,54
P00010,60,Female,Kochi,Kerala,B.Sc,Doctor,2753000,"Hindi, English, Telugu",Married,3,Luxury,Monthly,26,74,Cash,Car,Early Adopter,2,Vegan,High,73,13,10,69,28,65,34,Nike,Professional,Short,32,48,37,21,57,70,91,39,79,84,68
P00011,18,Female,Kochi,Kerala,Diploma,Nurse,1280000,Hindi,Single,0,Minimalist,Occasionally,43,57,Net Banking,Bike,Mainstream,37,Non-Vegetarian,High,44,27,88,82,34,65,63,Boat,Direct,Short,82,55,36,6,1,43,99,17,82,34,21
P00012,65,Female,Bengaluru,Karnataka,M.Tech,Farmer,259000,Hindi,Married,1,Balanced,Occasionally,79,21,Net Banking,Bike,Mainstream,17,Vegetarian,Medium,47,6,46,27,88,32,86,Samsung,Professional,Long,53,80,96,20,31,21,23,53,4,23,95
P00013,39,Female,Patna,Bihar,B.Com,Lawyer,1484000,"Hindi, English, Marathi",Single,0,Minimalist,Monthly,23,77,Credit Card,Bike,Mainstream,45,Eggetarian,Low,29,4,85,25,52,43,36,Samsung,Professional,Medium,83,66,52,87,69,43,4,15,34,23,75
P00014,34,Male,Indore,Madhya Pradesh,PhD,Sales Executive,3011000,"Hindi, English, Marathi",Single,0,Luxury,Occasionally,50,50,UPI,Both,Late Adopter,25,Eggetarian,Low,91,56,1,67,69,88,93,Adidas,Professional,Medium,9,86,43,80,41,85,16,93,39,65,40
P00015,60,Female,Jaipur,Rajasthan,M.Tech,Content Creator,2602000,"Hindi, English, Marathi",Single,0,Luxury,Monthly,34,66,Credit Card,Car,Mainstream,71,Vegetarian,Medium,37,27,56,75,78,84,42,Levi's,Concise,Medium,87,28,66,61,95,22,85,11,37,66,85
